user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,date_day,wait_duration,tariff_plan,date_start,call_type,direction_label,duration_minutes,wait_seconds
166377,2019-08-15 00:00:00+03:00,out,False,880026,True,15,0,330,2019-08-15,330,B,2019-08-01,External,Outgoing,0.0,330
166377,2019-08-16 00:00:00+03:00,out,False,880026,True,6,0,249,2019-08-16,249,B,2019-08-01,External,Outgoing,0.0,249
166377,2019-08-16 00:00:00+03:00,out,False,880026,False,15,1658,1714,2019-08-16,56,B,2019-08-01,External,Outgoing,27.633333333333333,56
166377,2019-08-16 00:00:00+03:00,out,False,880028,True,4,0,29,2019-08-16,29,B,2019-08-01,External,Outgoing,0.0,29
166377,2019-08-16 00:00:00+03:00,out,False,880028,False,15,1574,1674,2019-08-16,100,B,2019-08-01,External,Outgoing,26.233333333333334,100
166377,2019-08-16 00:00:00+03:00,out,True,880026,True,3,0,2,2019-08-16,2,B,2019-08-01,Internal,Outgoing,0.0,2
166377,2019-08-19 00:00:00+03:00,out,False,880026,True,13,0,142,2019-08-19,142,B,2019-08-01,External,Outgoing,0.0,142
166377,2019-08-19 00:00:00+03:00,out,False,880026,False,14,1519,1598,2019-08-19,79,B,2019-08-01,External,Outgoing,25.316666666666666,79
166377,2019-08-19 00:00:00+03:00,out,False,880028,True,5,0,170,2019-08-19,170,B,2019-08-01,External,Outgoing,0.0,170
166377,2019-08-19 00:00:00+03:00,in,False,880028,False,1,21,39,2019-08-19,18,B,2019-08-01,External,Incoming,0.35,18
166377,2019-08-19 00:00:00+03:00,out,False,880028,False,8,904,1033,2019-08-19,129,B,2019-08-01,External,Outgoing,15.066666666666666,129
166377,2019-08-20 00:00:00+03:00,out,False,880028,False,32,2975,3243,2019-08-20,268,B,2019-08-01,External,Outgoing,49.583333333333336,268
166377,2019-08-20 00:00:00+03:00,out,False,880026,False,19,2568,2758,2019-08-20,190,B,2019-08-01,External,Outgoing,42.8,190
