operator_id,incoming_calls,missed_calls,wait_seconds,missed_rate,avg_wait_sec,outgoing_calls,tariff_plan,high_missed_rate,high_wait,low_outbound,incoming_risk
891156,0.0,0.0,0.0,0.0,0.0,18.0,B,False,False,True,False
891158,0.0,0.0,0.0,0.0,0.0,264.0,B,False,False,False,False
891160,0.0,0.0,0.0,0.0,0.0,370.0,B,False,False,False,False
891162,0.0,0.0,0.0,0.0,0.0,104.0,B,False,False,False,False
891166,0.0,0.0,0.0,0.0,0.0,231.0,B,False,False,False,False
891170,0.0,0.0,0.0,0.0,0.0,193.0,B,False,False,False,False
891192,0.0,0.0,0.0,0.0,0.0,1.0,C,False,False,True,False
891250,0.0,0.0,0.0,0.0,0.0,2.0,B,False,False,True,False
891252,0.0,0.0,0.0,0.0,0.0,86.0,B,False,False,False,False
891254,1.0,0.0,26.0,0.0,26.0,0.0,B,False,True,True,False
891410,660.0,1.0,8713.0,0.0015151515151515152,13.201515151515151,2737.0,C,False,False,False,False
891414,503.0,1.0,5923.0,0.0019880715705765406,11.77534791252485,2498.0,C,False,False,False,False
891416,142.0,0.0,2081.0,0.0,14.654929577464788,758.0,C,False,False,False,False
891646,8.0,0.0,164.0,0.0,20.5,0.0,B,False,False,True,False
891744,5.0,0.0,107.0,0.0,21.4,6.0,B,False,True,True,False
891746,0.0,0.0,0.0,0.0,0.0,33.0,B,False,False,True,False
891824,12.0,0.0,195.0,0.0,16.25,32.0,B,False,False,True,False
891900,33.0,0.0,1240.0,0.0,37.57575757575758,0.0,C,False,True,True,False
891906,67.0,0.0,1782.0,0.0,26.597014925373134,0.0,C,False,True,True,False
891908,39.0,0.0,396.0,0.0,10.153846153846153,9.0,A,False,False,True,False
891918,5.0,0.0,156.0,0.0,31.2,1.0,A,False,True,True,False
891946,16.0,0.0,316.0,0.0,19.75,32.0,C,False,False,True,False
891948,1.0,0.0,3.0,0.0,3.0,0.0,C,False,False,True,False
891970,0.0,0.0,0.0,0.0,0.0,15.0,B,False,False,True,False
891976,0.0,0.0,0.0,0.0,0.0,2.0,B,False,False,True,False
891988,414.0,0.0,3865.0,0.0,9.33574879227053,474.0,C,False,False,False,False
892028,0.0,0.0,0.0,0.0,0.0,1337.0,C,False,False,False,False
892530,9.0,0.0,302.0,0.0,33.55555555555556,9.0,B,False,True,True,False
892532,65.0,0.0,1863.0,0.0,28.661538461538463,90.0,B,False,True,False,False
892534,28.0,0.0,941.0,0.0,33.607142857142854,11.0,B,False,True,True,False
892536,16.0,0.0,582.0,0.0,36.375,13.0,B,False,True,True,False
892538,10.0,0.0,300.0,0.0,30.0,116.0,B,False,True,False,False
892798,1.0,0.0,43.0,0.0,43.0,36.0,A,False,True,True,False
892800,0.0,0.0,0.0,0.0,0.0,8.0,A,False,False,True,False
893172,38.0,0.0,895.0,0.0,23.55263157894737,3.0,C,False,True,True,False
893400,2.0,0.0,39.0,0.0,19.5,3.0,C,False,False,True,False
893402,338.0,1.0,5555.0,0.0029585798816568047,16.43491124260355,51.0,C,False,False,True,False
893420,206.0,1.0,4221.0,0.0048543689320388345,20.490291262135923,29.0,C,False,False,True,False
893674,0.0,0.0,0.0,0.0,0.0,2468.0,C,False,False,False,False
893700,0.0,0.0,0.0,0.0,0.0,6.0,C,False,False,True,False
893804,2433.0,6.0,12458.0,0.002466091245376079,5.120427455815865,3413.0,C,False,False,False,False
894120,18.0,1.0,428.0,0.05555555555555555,23.77777777777778,0.0,C,True,True,True,False
894224,11.0,0.0,115.0,0.0,10.454545454545455,33.0,B,False,False,True,False
894226,0.0,0.0,0.0,0.0,0.0,24.0,B,False,False,True,False
894230,6.0,0.0,95.0,0.0,15.833333333333334,15.0,B,False,False,True,False
894232,4.0,0.0,43.0,0.0,10.75,16.0,B,False,False,True,False
894614,8.0,1.0,115.0,0.125,14.375,0.0,B,True,False,True,False
894656,20.0,0.0,483.0,0.0,24.15,3167.0,B,False,True,False,False
894662,1.0,0.0,9.0,0.0,9.0,37.0,B,False,False,True,False
894934,0.0,0.0,0.0,0.0,0.0,19.0,B,False,False,True,False
895140,4.0,0.0,152.0,0.0,38.0,0.0,A,False,True,True,False
895170,11.0,0.0,161.0,0.0,14.636363636363637,0.0,C,False,False,True,False
895172,8.0,0.0,92.0,0.0,11.5,82.0,A,False,False,False,False
895266,2.0,0.0,20.0,0.0,10.0,1.0,B,False,False,True,False
895370,0.0,0.0,0.0,0.0,0.0,10.0,A,False,False,True,False
895574,96.0,0.0,1456.0,0.0,15.166666666666666,0.0,A,False,False,True,False
895576,70.0,1.0,1207.0,0.014285714285714285,17.242857142857144,0.0,A,True,False,True,False
895578,57.0,0.0,844.0,0.0,14.807017543859649,0.0,A,False,False,True,False
895598,3.0,0.0,18.0,0.0,6.0,2.0,C,False,False,True,False
895774,13.0,0.0,142.0,0.0,10.923076923076923,105.0,B,False,False,False,False
895776,12.0,1.0,175.0,0.08333333333333333,14.583333333333334,239.0,B,True,False,False,False
